MeasureItem;Year;Month;Value;ProvidedValue;AVG_Value;FromAreaCode;ToAreaCode;MeasureTime;Direction;Flag;FromAreaMemberType;ToAreaMemberType
Physical Energy & Power Flows;2024;9;37;37;37;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;65;65;65;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;59;59;59;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;61;61;61;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;38;38;38;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;112;112;112;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;42;42;42;AL;ME;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;84;84;84;AL;ME;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;98;98;98;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;5;5;5;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;42;42;42;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;25;25;25;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;41;41;41;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;34;34;34;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;24;24;24;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;71;71;71;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;66;66;66;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;2;2;2;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;42;42;42;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;7;7;7;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;60;60;60;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;7;7;7;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;35;35;35;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;12;12;12;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;29;29;29;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;21;21;21;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;41;41;41;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;7;7;7;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;86;86;86;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;2;2;2;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;188;188;188;AL;XK;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;0;0;0;AL;XK;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;6;6;6;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;26;26;26;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;54;54;54;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;46;46;46;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;3;3;3;AM;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;69;69;69;AM;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;0;0;0;AM;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;350;350;350;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;57;57;57;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;380;380;380;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;44;44;44;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;267;267;267;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;91;91;91;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;138;138;138;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;179;179;179;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;127;127;127;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;169;169;169;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;65;65;65;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;206;206;206;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;71;71;71;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;183;183;183;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;96;96;96;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;289;289;289;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;222;222;222;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;134;134;134;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;107;107;107;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;203;203;203;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;224;224;224;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;198;198;198;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;261;261;261;AT;CH;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;113;113;113;AT;CH;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;6;6;6;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;644;644;644;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;3;3;3;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;572;572;572;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;33;33;33;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;522;522;522;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;33;33;33;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;316;316;316;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;65;65;65;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;215;215;215;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;35;35;35;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;219;219;219;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;9;9;9;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;314;314;314;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;7;7;7;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;529;529;529;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;10;10;10;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;592;592;592;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;22;22;22;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;307;307;307;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;0;0;0;AT;CZ;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;771;771;771;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;987;987;987;AT;CZ;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;119;119;119;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;658;658;658;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;60;60;60;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;655;655;655;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;210;210;210;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;373;373;373;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;394;394;394;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;208;208;208;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;488;488;488;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;179;179;179;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;477;477;477;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;190;190;190;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;310;310;310;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;260;260;260;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;185;185;185;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;498;498;498;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;172;172;172;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;403;403;403;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;484;484;484;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;95;95;95;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;117;117;117;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;806;806;806;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;60;60;60;AT;DE;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;1155;1155;1155;AT;DE;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;624;624;624;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;3;3;3;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;418;418;418;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;34;34;34;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;400;400;400;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;44;44;44;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;434;434;434;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;25;25;25;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;611;611;611;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;19;19;19;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;681;681;681;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;0;0;0;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;648;648;648;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;2;2;2;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;160;160;160;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;2;2;2;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;386;386;386;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;21;21;21;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;449;449;449;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;60;60;60;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;452;452;452;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;28;28;28;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;543;543;543;AT;HU;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;5;5;5;AT;HU;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;231;231;231;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;1;1;1;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;232;232;232;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;135;135;135;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;3;3;3;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;99;99;99;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;8;8;8;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;106;106;106;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;12;12;12;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;15;15;15;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;33;33;33;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;53;53;53;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;9;9;9;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;120;120;120;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;18;18;18;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;77;77;77;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;6;6;6;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;108;108;108;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;2;2;2;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;103;103;103;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;6;6;6;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;178;178;178;AT;IT;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;0;0;0;AT;IT;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;432;432;432;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;40;40;40;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;330;330;330;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;66;66;66;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;241;241;241;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;75;75;75;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;499;499;499;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;11;11;11;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;529;529;529;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;10;10;10;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;497;497;497;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;1;1;1;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;624;624;624;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;0;0;0;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;744;744;744;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;2;2;2;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;528;528;528;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;4;4;4;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;381;381;381;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;43;43;43;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;479;479;479;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;11;27;27;27;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;12;563;563;563;AT;SI;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;12;19;19;19;AT;SI;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;1;102;102;102;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;8;8;8;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;93;93;93;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;2;4;4;4;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;125;125;125;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;3;1;1;1;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;33;33;33;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;4;6;6;6;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;6;6;6;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;5;7;7;7;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;4;4;4;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;6;4;4;4;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;7;7;7;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;7;7;7;7;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;276;276;276;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;8;0;0;0;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;257;257;257;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;9;2;2;2;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;1;1;1;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;10;2;2;2;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;11;0;0;0;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;128;128;128;AZ;GE;Monthly Value;Export;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;12;0;0;0;AZ;GE;Monthly Value;Import;Harmonized;NaM;NaM
Physical Energy & Power Flows;2024;1;98;98;98;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;1;157;157;157;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;2;143;143;143;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;2;105;105;105;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;3;163;163;163;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;3;156;156;156;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;4;178;178;178;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;4;113;113;113;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;5;89;89;89;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;5;195;195;195;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;6;20;20;20;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;6;370;370;370;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;7;15;15;15;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;7;297;297;297;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;8;19;19;19;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;8;332;332;332;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;9;70;70;70;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;9;185;185;185;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;10;72;72;72;BA;HR;Monthly Value;Export;Harmonized;M;M
Physical Energy & Power Flows;2024;10;240;240;240;BA;HR;Monthly Value;Import;Harmonized;M;M
Physical Energy & Power Flows;2024;11;91;91;91;BA;HR;Monthly Value;Export;Harmonized;M;M
